,time,SSC (mg/L)
394,1995-10-30 00:00:00.000,35.65299999999984
395,1995-10-31 00:00:00.000,35.51999999999984
396,1995-11-01 00:00:00.000,35.38699999999984
397,1995-11-02 00:00:00.000,35.253999999999834
398,1995-11-03 00:00:00.000,35.12099999999983
399,1995-11-04 00:00:00.000,34.98799999999983
400,1995-11-05 00:00:00.000,34.854999999999826
401,1995-11-06 00:00:00.000,34.721999999999824
402,1995-11-07 00:00:00.000,34.58899999999982
403,1995-11-08 00:00:00.000,34.45599999999982
404,1995-11-09 00:00:00.000,34.322999999999816
405,1995-11-10 00:00:00.000,34.18999999999981
406,1995-11-11 00:00:00.000,34.05699999999981
407,1995-11-12 00:00:00.000,33.92399999999981
408,1995-11-13 00:00:00.000,33.790999999999805
409,1995-11-14 00:00:00.000,33.6579999999998
410,1995-11-15 00:00:00.000,33.5249999999998
411,1995-11-16 00:00:00.000,33.3919999999998
412,1995-11-17 00:00:00.000,33.258999999999794
413,1995-11-18 00:00:00.000,33.12599999999979
414,1995-11-19 00:00:00.000,32.99299999999979
415,1995-11-20 00:00:00.000,32.859999999999786
416,1995-11-21 00:00:00.000,32.726999999999784
417,1995-11-22 00:00:00.000,32.59399999999978
418,1995-11-23 00:00:00.000,32.46099999999978
419,1995-11-24 00:00:00.000,32.327999999999776
420,1995-11-25 00:00:00.000,32.19499999999977
421,1995-11-26 00:00:00.000,32.06199999999977
422,1995-11-27 00:00:00.000,31.92899999999977
423,1995-11-28 00:00:00.000,31.795999999999772
424,1995-11-29 00:00:00.000,31.662999999999773
425,1995-11-30 00:00:00.000,31.529999999999774
426,1995-12-01 00:00:00.000,31.396999999999775
427,1995-12-02 00:00:00.000,31.263999999999776
428,1995-12-03 00:00:00.000,31.130999999999776
429,1995-12-04 00:00:00.000,30.997999999999777
430,1995-12-05 00:00:00.000,30.864999999999778
431,1995-12-06 00:00:00.000,30.73199999999978
432,1995-12-07 00:00:00.000,30.59899999999978
433,1995-12-08 00:00:00.000,30.512820512820515
434,1995-12-09 00:00:00.000,29.0
435,1995-12-10 00:00:00.000,29.354166666666668
436,1995-12-11 00:00:00.000,29.5
437,1995-12-12 00:00:00.000,36.34375
438,1995-12-13 00:00:00.000,32.357142857142854
439,1995-12-14 00:00:00.000,34.0
440,1995-12-15 00:00:00.000,36.0
441,1995-12-16 00:00:00.000,42.642105263157895
442,1995-12-17 00:00:00.000,57.361702127659576
443,1995-12-18 00:00:00.000,67.66666666666667
444,1995-12-19 00:00:00.000,83.84375
445,1995-12-20 00:00:00.000,94.15957446808511
446,1995-12-21 00:00:00.000,95.36458333333333
447,1995-12-22 00:00:00.000,90.77777777777777
448,1995-12-23 00:00:00.000,84.375
449,1995-12-24 00:00:00.000,79.42708333333333
450,1995-12-25 00:00:00.000,75.76041666666667
451,1995-12-26 00:00:00.000,69.97916666666667
452,1995-12-27 00:00:00.000,63.4375
453,1995-12-28 00:00:00.000,58.395833333333336
454,1995-12-29 00:00:00.000,55.395833333333336
455,1995-12-30 00:00:00.000,51.208333333333336
456,1995-12-31 00:00:00.000,47.864583333333336
457,1996-01-01 00:00:00.000,44.604166666666664
458,1996-01-02 00:00:00.000,43.1875
459,1996-01-03 00:00:00.000,42.354166666666664
460,1996-01-04 00:00:00.000,40.947916666666664
461,1996-01-05 00:00:00.000,41.645833333333336
462,1996-01-06 00:00:00.000,39.385416666666664
463,1996-01-07 00:00:00.000,38.145833333333336
464,1996-01-08 00:00:00.000,39.166666666666664
465,1996-01-09 00:00:00.000,40.4375
466,1996-01-10 00:00:00.000,39.625
